"provincia":"Huesca"-n-"codciclo":"ADG201","nombreciclo":"Gestion Administrativa","grado":"GMedio"-n-"nombrecentro":"BAJO CINCA","mailcentro":"iesbcfraga@educa.aragon.es"
"provincia":"Huesca"-n-"codciclo":"ADG201","nombreciclo":"Gestion Administrativa","grado":"GMedio"-n-"nombrecentro":"BIELLO ARAGON","mailcentro":"iesbasabinanigo@educa.aragon.es"
"provincia":"Huesca"-n-"codciclo":"ADG201","nombreciclo":"Gestion Administrativa","grado":"GMedio"-n-"nombrecentro":"ESCUELAS PIAS","mailcentro":"joseignaciobilbao@escolapiosemaus.org"
"provincia":"Huesca"-n-"codciclo":"ADG201","nombreciclo":"Gestion Administrativa","grado":"GMedio"-n-"nombrecentro":"HERMANOS ARGENSOLA","mailcentro":"ieshabarbastro@educa.aragon.es"
"provincia":"Huesca"-n-"codciclo":"ADG201","nombreciclo":"Gestion Administrativa","grado":"GMedio"-n-"nombrecentro":"LA LLITERA","mailcentro":"iestamarite@educa.aragon.es"
"provincia":"Huesca"-n-"codciclo":"ADG201","nombreciclo":"Gestion Administrativa","grado":"GMedio"-n-"nombrecentro":"MONEGROS-GASPAR LAX","mailcentro":"iessarinena@educa.aragon.es"
"provincia":"Huesca"-n-"codciclo":"ADG201","nombreciclo":"Gestion Administrativa","grado":"GMedio"-n-"nombrecentro":"SANTO DOMINGO SAVIO","mailcentro":"colegio.monzon@salesianos.org"
"provincia":"Huesca"-n-"codciclo":"ADG201","nombreciclo":"Gestion Administrativa","grado":"GMedio"-n-"nombrecentro":"SIERRA DE GUARA","mailcentro":"iessguhuesca@educa.aragon.es"
"provincia":"Huesca"-n-"codciclo":"ADG301","nombreciclo":"Administracion y Finanzas","grado":"GSuperior"-n-"nombrecentro":"BAJO CINCA","mailcentro":"iesbcfraga@educa.aragon.es"
"provincia":"Huesca"-n-"codciclo":"ADG301","nombreciclo":"Administracion y Finanzas","grado":"GSuperior"-n-"nombrecentro":"BIELLO ARAGON","mailcentro":"iesbasabinanigo@educa.aragon.es"
"provincia":"Huesca"-n-"codciclo":"ADG301","nombreciclo":"Administracion y Finanzas","grado":"GSuperior"-n-"nombrecentro":"HERMANOS ARGENSOLA","mailcentro":"ieshabarbastro@educa.aragon.es"
"provincia":"Huesca"-n-"codciclo":"ADG301","nombreciclo":"Administracion y Finanzas","grado":"GSuperior"-n-"nombrecentro":"LA LLITERA","mailcentro":"iestamarite@educa.aragon.es"
