"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"HERMANOS ARGENSOLA","tipo":"Instituto de Educación Secundaria","id":"22000809","dir":"Avda. Del Cinca, S/N","prov":"Huesca","loc":"Barbastro","tel":"974 31 17 38","mail":"ieshabarbastro@educa.aragon.es"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"BAJO CINCA","tipo":"Instituto de Educación Secundaria","id":"22004888","dir":"Cl. Río Cinca, S/N","prov":"Huesca","loc":"Fraga","tel":"974 45 38 60","mail":"iesbcfraga@educa.aragon.es"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"SIERRA DE GUARA","tipo":"Instituto de Educación Secundaria","id":"22002521","dir":"Cl. Ramón J. Sender, 4","prov":"Huesca","loc":"Huesca","tel":"974 24 34 77","mail":"iessguhuesca@educa.aragon.es"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"SIERRA DE GUARA","tipo":"Instituto de Educación Secundaria","id":"22002521","dir":"Cl. Ramón J. Sender, 4","prov":"Huesca","loc":"Huesca","tel":"974 24 34 77","mail":"iessguhuesca@educa.aragon.es"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"ESCUELAS PÍAS","tipo":"Centro Privado de Educación Infantil Primaria y Secundaria","id":"22002703","dir":"Avda. Perimetral, 2","prov":"Huesca","loc":"Jaca","tel":"974 36 03 92","mail":"joseignaciobilbao@escolapiosemaus.org"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"SANTO DOMINGO SAVIO","tipo":"Centro Privado de Educación Secundaria","id":"22003239","dir":"P.º SAN JUAN BOSCO, 83-85","prov":"Huesca","loc":"Monzón","tel":"974 41 68 88","mail":"colegio.monzon@salesianos.org"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"BIELLO ARAGÓN","tipo":"Instituto de Educación Secundaria","id":"22004891","dir":"Cl. Derechos Humanos, 5","prov":"Huesca","loc":"Sabiñánigo","tel":"974 48 26 82","mail":"iesbasabinanigo@educa.aragon.es"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"MONEGROS-GASPAR LAX","tipo":"Instituto de Educación Secundaria","id":"22005030","dir":"Cami. De Las Torres, S/N","prov":"Huesca","loc":"Sariñena","tel":"974 57 11 14","mail":"iessarinena@educa.aragon.es"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"LA LLITERA","tipo":"Instituto de Educación Secundaria","id":"22005391","dir":"Camino La Colomina s/n","prov":"Huesca","loc":"Tamarite de Litera","tel":"974 42 03 60","mail":"iestamarite@educa.aragon.es"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"BAJO ARAGÓN","tipo":"Instituto de Educación Secundaria","id":"44005177","dir":"Cl. José Pardo Sastrón, S/N","prov":"Teruel","loc":"Alcañiz","tel":"978 83 10 63","mail":"iesalcaniz@educa.aragon.es"
