"codigo":"ACA301","denominacion":"Gestión y Organización de Empresas Agropecuarias","grado":" "-n-"codigo":"MONTEARAGÓN","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"HERMANOS ARGENSOLA","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"BAJO CINCA","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"SIERRA DE GUARA","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"SIERRA DE GUARA","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"SANTO DOMINGO SAVIO","tipo":"Centro privado"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"BIELLO ARAGÓN","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"MONEGROS-GASPAR LAX","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"LA LLITERA","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"ESCUELAS PÍAS","tipo":"Centro privado"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"BAJO ARAGÓN","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"PABLO SERRANO","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"PABLO SERRANO","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"SANTA EMERENCIANA","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"SANTA EMERENCIANA","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"FERNANDO LÁZARO CARRETER","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"ALAÚN","tipo":"Centro privado"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"CABAÑAS","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"EMILIO JIMENO","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"MAR DE ARAGÓN","tipo":"Centro público"
